Type of MB,Types of contaminants,Compound size (nm),Compound stokes radius rs (nm),Compound charge,Diffusion coefficient (cm2·s-1),pKa1 ,pKa2,WS (mg/L),MinPartialCharge,Min projection (Å),E,S,A,B,MB MWCO (Da),rs/rp,ΦS,ΦD,MB contact angle (°),"MB surface energy, γm (J·m-2)",MB zeta potential (mV),RMS roughness (nm),Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),pH,Removal rate (%),RD_LogP,RD_TPSA,RD_HBA,RD_HBD,RD_Rings,RD_RotBonds,RD_FractionCSP3,RD_NumAliphaticRings,RD_NumAromaticRings,RD_BertzCT
RO,17alpha-Ethynilestradiol,0.7307122914188356,0.5443836095502264,0.4749415060482177,-0.23436840030453307,0.6949850729482954,-0.5591068124789533,-1.3953861336713742,-1.0872242740845006,0.4070495463098771,0.9254409303650353,0.7703713953152979,1.1364788251034053,0.30176708646454375,-1.088893730020928,1.3287176212772696,1.4931873522857768,0.4712583124693626,1.5197947838969237,1.4556942561013184,1.0549078737806936,0.6929879436380504,2.125423477678414,-0.8753507880346727,-0.033718365271486264,0.21875746762308354,98.52,1.058434383718495,-0.6812367024765897,-0.3882348391686677,0.49942570747644427,1.6371253606422902,-1.556491705079866,0.703974413386748,2.1110872078616105,0.05811025098402548,0.839273330512668
RO,4-Chlorophenol,-1.3203698731152058,-1.27541894038265,0.45806563250964144,-0.821326020479588,0.5291567070397682,-0.5591068124789533,0.9291814252553316,-1.0873501982492642,-1.125968961835156,-0.5200467589201256,-0.7456760566076857,0.40927599046854,-2.107598838197043,-1.088893730020928,0.11332212295208272,-0.14995420105236934,0.461044932602242,1.5197947838969237,1.4556942561013184,1.0549078737806936,0.6929879436380504,2.125423477678414,-0.8753507880346727,-0.457210759008191,0.21875746762308354,82.76,0.025492813202819913,-1.6210586314401458,-1.3223199481224337,-0.5023394391526529,-0.31029628977033424,-1.556491705079866,-1.4085997045062815,-0.4855150365548911,0.05811025098402548,-1.3647112093284983
RO,Acetaminophen,-0.7996297941507261,-0.9833515772028909,0.4749415060482177,-0.8211403413371391,0.545535287487798,-0.5591068124789533,0.7928487865483601,-1.0873382290169171,-0.9797369890279936,-0.28455704519812847,-0.025196215687486725,1.2012760684525285,-0.29799813259621827,-1.088893730020928,0.34076331140928506,0.23745107878191224,0.4712583124693626,0.38091222561018073,0.5425450871280568,1.0549078737806936,0.6929879436380504,0.7906546439176027,-0.8753507880346727,-0.5610348390827922,-1.508947368237211,92.59,-0.3955097635643206,-0.34382178198946944,-0.3882348391686677,0.49942570747644427,-0.31029628977033424,-0.7819366847264313,-0.8426842075479161,-0.4855150365548911,0.05811025098402548,-0.8656174143771603
RO,Acetaminophen,-0.7996297941507261,-0.9833515772028909,0.4749415060482177,-0.8211403413371391,0.545535287487798,-0.5591068124789533,0.7928487865483601,-1.0873382290169171,-0.9797369890279936,-0.28455704519812847,-0.025196215687486725,1.2012760684525285,-0.29799813259621827,-1.088893730020928,0.34076331140928506,0.23745107878191224,0.4712583124693626,0.38091222561018073,0.5425450871280568,1.0549078737806936,0.6929879436380504,0.7906546439176027,-0.8753507880346727,-0.5610348390827922,-1.0245993004179006,93.78,-0.3955097635643206,-0.34382178198946944,-0.3882348391686677,0.49942570747644427,-0.31029628977033424,-0.7819366847264313,-0.8426842075479161,-0.4855150365548911,0.05811025098402548,-0.8656174143771603
RO,Acetaminophen,-0.7996297941507261,-0.9833515772028909,0.4749415060482177,-0.8211403413371391,0.545535287487798,-0.5591068124789533,0.7928487865483601,-1.0873382290169171,-0.9797369890279936,-0.28455704519812847,-0.025196215687486725,1.2012760684525285,-0.29799813259621827,-1.088893730020928,0.34076331140928506,0.23745107878191224,0.4712583124693626,0.38091222561018073,0.5425450871280568,1.0549078737806936,0.6929879436380504,0.7906546439176027,-0.8753507880346727,-0.5610348390827922,0.21875746762308354,89.53,-0.3955097635643206,-0.34382178198946944,-0.3882348391686677,0.49942570747644427,-0.31029628977033424,-0.7819366847264313,-0.8426842075479161,-0.4855150365548911,0.05811025098402548,-0.8656174143771603
RO,Acetaminophen,-0.7996297941507261,-0.9833515772028909,0.4749415060482177,-0.8211403413371391,0.545535287487798,-0.5591068124789533,0.7928487865483601,-1.0873382290169171,-0.9797369890279936,-0.28455704519812847,-0.025196215687486725,1.2012760684525285,-0.29799813259621827,-1.088893730020928,0.34076331140928506,0.23745107878191224,0.4712583124693626,0.38091222561018073,0.5425450871280568,1.0549078737806936,0.6929879436380504,1.5829963071465991,-0.8753507880346727,-0.5610348390827922,-1.508947368237211,94.89,-0.3955097635643206,-0.34382178198946944,-0.3882348391686677,0.49942570747644427,-0.31029628977033424,-0.7819366847264313,-0.8426842075479161,-0.4855150365548911,0.05811025098402548,-0.8656174143771603
RO,Acetaminophen,-0.7996297941507261,-0.9833515772028909,0.4749415060482177,-0.8211403413371391,0.545535287487798,-0.5591068124789533,0.7928487865483601,-1.0873382290169171,-0.9797369890279936,-0.28455704519812847,-0.025196215687486725,1.2012760684525285,-0.29799813259621827,-1.088893730020928,0.34076331140928506,0.23745107878191224,0.4712583124693626,0.38091222561018073,0.5425450871280568,1.0549078737806936,0.6929879436380504,1.5829963071465991,-0.8753507880346727,-0.5610348390827922,-1.0245993004179006,96.99,-0.3955097635643206,-0.34382178198946944,-0.3882348391686677,0.49942570747644427,-0.31029628977033424,-0.7819366847264313,-0.8426842075479161,-0.4855150365548911,0.05811025098402548,-0.8656174143771603
RO,Acetaminophen,-0.7996297941507261,-0.9833515772028909,0.4749415060482177,-0.8211403413371391,0.545535287487798,-0.5591068124789533,0.7928487865483601,-1.0873382290169171,-0.9797369890279936,-0.28455704519812847,-0.025196215687486725,1.2012760684525285,-0.29799813259621827,-1.088893730020928,0.34076331140928506,0.23745107878191224,0.4712583124693626,0.38091222561018073,0.5425450871280568,1.0549078737806936,0.6929879436380504,1.5829963071465991,-0.8753507880346727,-0.5610348390827922,0.21875746762308354,90.66,-0.3955097635643206,-0.34382178198946944,-0.3882348391686677,0.49942570747644427,-0.31029628977033424,-0.7819366847264313,-0.8426842075479161,-0.4855150365548911,0.05811025098402548,-0.8656174143771603
RO,Acetaminophen,-0.7996297941507261,-0.9833515772028909,0.4749415060482177,-0.8211403413371391,0.545535287487798,-0.5591068124789533,0.7928487865483601,-1.0873382290169171,-0.9797369890279936,-0.28455704519812847,-0.025196215687486725,1.2012760684525285,-0.29799813259621827,-1.088893730020928,0.34076331140928506,0.23745107878191224,0.4712583124693626,0.38091222561018073,0.5425450871280568,1.0549078737806936,0.6929879436380504,2.125423477678414,-0.8753507880346727,-0.5610348390827922,-1.508947368237211,94.33,-0.3955097635643206,-0.34382178198946944,-0.3882348391686677,0.49942570747644427,-0.31029628977033424,-0.7819366847264313,-0.8426842075479161,-0.4855150365548911,0.05811025098402548,-0.8656174143771603
RO,Acetaminophen,-0.7996297941507261,-0.9833515772028909,0.4749415060482177,-0.8211403413371391,0.545535287487798,-0.5591068124789533,0.7928487865483601,-1.0873382290169171,-0.9797369890279936,-0.28455704519812847,-0.025196215687486725,1.2012760684525285,-0.29799813259621827,-1.088893730020928,0.34076331140928506,0.23745107878191224,0.4712583124693626,0.38091222561018073,0.5425450871280568,1.0549078737806936,0.6929879436380504,2.125423477678414,-0.8753507880346727,-0.5610348390827922,-1.0245993004179006,95.95,-0.3955097635643206,-0.34382178198946944,-0.3882348391686677,0.49942570747644427,-0.31029628977033424,-0.7819366847264313,-0.8426842075479161,-0.4855150365548911,0.05811025098402548,-0.8656174143771603
