Model,RMSE_Global,MAE_Global,R2_Global,RMSE_High,MAE_High,R2_High,HighHitRate,N_Test,N_TestHigh
BaggedTrees_mtryNarrow,34.2562674586807,27.0705140918467,-1.40630520145706,2.1198270449696,1.88422276026791,-11.7146256908047,1,12,4
BaggedTrees_mtryWide,33.3435523397124,26.1408369167216,-1.27978746562306,2.20339935515611,1.8969913983596,-12.7369133286522,1,12,4
LSBoost_Shallow,32.8439221565831,26.1368241183904,-1.21197725316787,2.71306091176606,2.52498265888667,-19.8267647202408,1,12,4
LSBoost,32.4727626602331,26.2401997998472,-1.16226592817962,3.43692206203251,3.05921895286304,-32.4227430319102,1,12,4
stacking_top3,25.1139931627042,18.511122598879,-0.293308618484773,7.04185737242677,6.41818478626875,-139.306299711717,0.5,12,4
