Model,RMSE_Global,MAE_Global,R2_Global,RMSE_Train,MAE_Train,R2_Train,RMSE_High,MAE_High,R2_High,RMSE_High_Train,MAE_High_Train,R2_High_Train,HighHitRate,N_Test,N_TestHigh
BaggedTrees_mtryWide,24.2750462988399,14.299521916844,0.314942861669344,20.0245200176799,11.2483400583977,0.417024146096503,2.73593065127982,1.59654275557014,0.0950390999544234,1.41043163368395,0.752033543503615,0.759560339620158,0.967105263157895,300,152
stacking_top3,19.115790453813,11.099393298222,0.575193469386652,14.8920196400445,8.85080654822699,0.677571414573766,3.38150527072316,1.83913679601819,-0.382419282442685,1.40289464413121,0.950702401141784,0.762123171053718,0.953947368421053,300,152
LSBoost,14.6304179612473,7.71919040090674,0.751160036657671,9.44553089566612,4.99945070493716,0.870288320343306,4.06940837655168,1.94023655473869,-1.0020835389492,1.0101579768612,0.658220442977886,0.876666623503818,0.940789473684211,300,152
NeuralNet,19.2898320716703,10.7663355605976,0.567422868861513,12.7849621920587,7.17432672561144,0.762356886643546,14.2956582815821,5.01669510765977,-23.7074521110386,1.55101482687605,0.977412833288395,0.709240492248558,0.875,300,152
