feature,VIF
ΦD,8.516
Compound log K ow,7.12
"MB surface charge density , σm (mC·m-2)",7.068
pKa1,6.448
Total charge,5.268
log D (pH=5.5),4.915
∆Gs-m (J·m-2),4.775
RD_FracCSP3,4.273
RD_RotBonds,4.183
Pressure (kPa),4.168
A,3.963
RD_Rings,3.847
RMS roughness (nm),2.529
MinPartialCharge,2.21
WS (mg/L),1.969
Diffusion coefficient (cm2·s-1),1.846
Measurement time (min),1.336
Initial concentration of compound (mg/L),1.218
