model,rmse_high,mae_high,r2_high,high_hit_rate,r2_global,rmse_global
hist_gb,1.8928808007676783,1.3146783876678771,0.5871176438708902,0.993421052631579,0.15294344204004962,26.36203724399717
random_forest,1.9703883953646177,1.381674973804894,0.5526128829866142,0.993421052631579,0.2120095401210269,25.4263045450835
stacking_top3,2.259232506376951,1.430544354611337,0.41183165374378716,0.9671052631578947,0.4626928689125801,20.995879275775884
xgboost,2.6445802963291016,1.5657176938581565,0.1940774501222421,0.9407894736842105,0.5394425292976137,19.43858645028806
extra_trees,4.531067301324951,1.4775342229648143,-1.3658151999574057,0.9736842105263158,0.5803865333682297,18.55442385990003
