Name of MB,Type of MB,Types of contaminants,CAS,SMILES,Compound Mw (g/mol),Compound size (nm),Compound stokes radius rs (nm),Compound charge,Compound log K ow,Density (g·cm-3),Diffusion coefficient (cm2·s-1),pKa1,pKa2,log D (pH=5.5),log D (pH=7.4),WS (mg/L),MinPartialCharge,MaxPartialCharge,Surface tension γs (dyne·cm-1),Min projection (Å),Max projection (Å),Total charge,E,S,A,B,V,MB MWCO (Da),MB pore radius rp (nm),rs/rp,ΦS,ΦD,∆Gs-m (J·m-2),MB contact angle (°),"MB surface energy, γm (J·m-2)",MB zeta potential (mV),"MB surface charge density , σm (mC·m-2)","MB volume charge density, δm (mol·m-3)",RMS roughness (nm),Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),pH,Reference,RD_MW,RD_LogP,RD_TPSA,RD_HBA,RD_HBD,RD_Rings,RD_RotBonds,RD_FracCSP3,Removal rate (%),zone
NF90,NF,Glutaric acid,110-94-1,O=C(O)CCCC(=O)O,132.115,0.409434976522524,0.309664286290564,-2.0,0.046,1.429,4.15059186767631e-09,5.41,,,,640000.0,-0.481230227975588,0.302855790648419,56.1,3.23,5.19,54.58,0.36,1.28,1.05,0.75,0.9619,118.0,0.23866774606206,1.29747019192968,0.0884885150866807,0.119419405915831,-1.05301535145567,63.2,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,482.633,10.0,11.0,9.0,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,132.115,0.32590000000000025,74.6,2,2,0,4,0.6,92.61,high
NF90,NF,"2,4-Dihydroxybenzoic acid",89-86-1,O=C(O)C1=CC=C(O)C=C1O,154.121,0.42578750568799,0.332683215319301,-1.0,1.674,1.559,3.70262761444497e-09,3.11,,-1.1,-1.41,5780.0,-0.507822480145235,0.338973937207279,84.2,3.59,5.05,27.29,1.14,1.16,1.06,0.56,1.0491,118.0,0.23866774606206,1.39391778239191,0.15517121928456,0.345571130038132,-1.68239622973843,63.2,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,482.633,10.0,1.6,6.5,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,154.12099999999998,0.7959999999999998,77.76,3,3,1,1,0.0,91.95,high
BW30,RO,4-Chlorophenol,106-48-9,OC1=CC=C(Cl)C=C1,128.56,0.393602591454884,0.305758028192424,-0.0108,2.274,1.2238,2.89155141742474e-09,9.41,,2.39,2.39,24000.0,-0.507965185846035,0.115179759988827,44.7,3.39,4.57,0.175608,0.92,1.08,0.67,0.2,0.8975,100.0,0.217648387362773,1.4048256083919,0.163883773209872,0.99318589180149,-0.98373689241579,76.0,61.7818785666909,-16.26,-1.20662429949634,-57.4586362189063,68.3,2000.0,10.0,0.6428,7.0,Comparison of flux behavior and synthetic organic compound removal by forward osmosis and reverse osmosis membranes,128.558,2.0456,20.23,1,1,1,0,0.0,82.76,low
NF90,NF,Acetaminophen,103-90-2,CC(=O)NC1=CC=C(O)C=C1,151.165,0.444840420825266,0.329698226496231,0.0,0.907,1.293,3.25613433569989e-09,9.5,,0.49,0.49,14000.0,-0.507964315792578,0.220747436312425,52.8,3.49,5.67,0.0,1.12,1.63,1.01,0.91,1.1724,118.0,0.23866774606206,1.38141090254609,0.145474276581023,1.0,-0.969536829445799,41.4,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,1500.0,10.0,0.5,4.0,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,151.165,1.3505999999999998,49.33,2,2,1,1,0.125,91.04,high
NF270,NF,Carbamazepine,298-46-4,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21,236.274,0.507984251724401,0.405870770131068,0.0,2.766,1.266,1.76505511914234e-09,13.9,,2.28,2.28,18.0,-0.350883837448266,0.323422196174131,,4.48,5.76,0.0,2.15,1.9,0.5,1.15,1.8106,340.0,0.430317700421346,0.943188648139873,0.00322752970017515,1.0,,35.0,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,800.0,1440.0,0.3,7.0,Nanofiltration for wastewater reuse: Counteractive effects of fouling and matrice on the rejection of pharmaceutical active compounds,236.274,3.3872000000000018,46.330000000000005,1,1,3,0,0.0,31.0,low
SB50,RO,Tribromoacetic acid,75-96-7,O=C(O)C(Br)(Br)Br,296.74,0.366393231378529,0.451277658539598,-0.9984,1.98,3.098,1.09749890685452e-05,0.72,,-1.25,-1.26,200000.0,-0.478918559156417,0.342015253924122,78.4,3.39,3.96,10.9824,1.08,1.26,0.98,0.31,0.9898,152.0,0.274816201263342,1.64210718460213,0.412301636517674,0.652066944493388,-1.88583307543645,63.0,52.8815417227594,-11.0,-0.808970155470014,-30.5090628904823,,689.476,10.0,0.1,3.5,Removal of haloacetic acids from swimming pool water by reverse osmosis and nanofiltration,296.74,1.9095,37.3,1,1,0,0,0.5,83.672,low
NF270,NF,MCPA,94-74-6,CC1=CC(Cl)=CC=C1OCC(=O)O,200.62,0.516009689831499,0.376118733301768,-1.0,2.411,1.56,9.19665358944346e-06,3.07,,0.2,-1.09,630.0,-0.48163817600434,0.341222404120302,,4.18,6.37,42.7,1.023,1.408,0.502,0.925,1.4161,340.0,0.430317700421346,0.87404894786687,0.0158636675334424,0.189653457263089,1.89953149323457,17.5,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,1000.0,10.0,1.0,7.0,"The eﬀect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",200.62099999999998,2.11182,46.53,2,1,1,3,0.2222222222222222,66.746,low
NF200,NF,2-Naphthalenesulfonic acid,120-18-3,O=S(=O)(O)C1=CC=C2C=CC=CC2=C1,206.285,0.482712129534778,0.381024800219834,-1.0,2.144,1.423,2.70129739651841e-09,0.27,,-2.69,-2.7,60000.0,-0.2817916062671,0.294033163760985,58.7,3.89,5.99,20.5,1.948,2.6,0.003,1.173,1.425,300.0,0.40133958063462,0.949382564304613,0.00256212479637664,0.450146137898121,-1.1029320163181,30.3,35.7017071660267,-20.5,-1.53617815656346,-39.6705565430239,5.2,448.159,10.0,1.6,5.0,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,208.238,2.0865,54.370000000000005,2,1,2,1,0.0,90.537,high
SW30XLE,RO,1-Butanol ,71-36-3,CCCCO,74.1,0.355834231068345,0.23659926654907,0.0,0.84,0.8098,2.96195542612578e-09,16.1,,0.88,0.88,68000.0,-0.39637675206921,0.0430422834852069,26.0,2.82,4.49,0.0,0.22,0.42,0.37,0.48,0.7309,100.0,0.217648387362773,1.08707107558169,0.00758137220295236,1.0,-0.184120423827595,55.0,47.8630498332721,-15.0,-1.11037496503814,-52.8753077568041,,1550.0,10.0,2000.0,7.0,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,74.12299999999999,0.7787999999999999,20.23,1,1,0,2,1.0,94.7,high
HL,RO,Norfloxacin,70458-96-7,CCN1C=C(C(=O)O)C(=O)C2=CC(F)=C(N3CCNCC3)C=C21,319.336,0.619599870884428,0.466957079213674,0.0532,-0.97,1.344,6.36314377651065e-06,6.34,8.75,-3.18,-3.0,178000.0,-0.477497024099065,0.340722850602156,53.1,5.16,7.44,-0.5852,1.98,2.5,0.05,2.39,2.2724,190.0,0.311186830590451,1.50056825453591,0.250568577449128,1.02304677001352,-1.08253768970671,26.8,55.0,-11.0,-0.808970155470014,-26.9432506245784,,500.0,30.0,0.02,7.0,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,319.336,1.2683,74.57000000000001,4,2,3,3,0.375,99.459,high
NTR7450,NF,Benzonitrile,100-47-0,N#CC1=CC=CC=C1,103.124,0.392596484956246,0.275941885663224,0.0,1.829,1.01,2.66364344742287e-09,14.0,,1.56,1.56,2000.0,-0.192437051434374,0.0991088368244062,41.0,3.41,4.52,0.0,0.74,1.11,0.0,0.33,0.8711,310.0,0.408736966210894,0.675108709205537,0.105554350834092,1.0,-0.816024719755385,70.0,57.5807121916701,-16.6,-1.23271822352088,-31.2578137826674,9.0,1500.0,10.0,0.460401786,7.0,"Influence of molecular size, polarity and charge on the retention of organic molecules by nanofiltration",103.12399999999997,1.5582799999999999,23.79,1,0,1,0,0.0,4.9,low
X20,RO,Sulfachloropyridazine,80-32-0,NC1=CC=C(S(=O)(=O)NC2=CC=C(Cl)N=N2)C=C1,284.72,0.557023338828814,0.442676151402513,-0.7174,0.853,1.6,7.56823810127886e-06,5.9,,0.54,-0.82,7000.0,-0.398727717127508,0.262595555078448,83.3,5.25,5.91,14.348,2.24,3.04,0.71,1.36,1.8449,200.0,0.320205775712734,1.38247397448462,0.146286341158062,0.571980586922336,-1.90890979306644,55.0,47.8630498332721,-20.0,-1.49681549216381,-48.4482181092634,81.0,1034.21,1440.0,0.00072,7.0,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,284.728,1.513,97.97,5,2,2,3,0.0,96.3,high
BW30,RO,MCPA,94-74-6,CC1=CC(Cl)=CC=C1OCC(=O)O,200.62,0.516009689831499,0.376118733301768,-1.0,2.411,1.56,9.19665358944346e-06,3.07,,0.2,-1.09,630.0,-0.48163817600434,0.341222404120302,,4.18,6.37,16.26,1.023,1.408,0.502,0.925,1.4161,100.0,0.217648387362773,1.72810255044463,0.530133323963975,0.53094576915775,2.32273718532062,79.4,64.215042140265,-16.26,-1.20662429949634,-57.4586362189063,68.3,1000.0,10.0,10.0,7.0,"The eﬀect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",200.62099999999998,2.11182,46.53,2,1,1,3,0.2222222222222222,98.575,high
RE-BLR,RO,Carbontetrachloride,56-23-5,ClC(Cl)(Cl)Cl,153.81,0.31699842270901,0.332370614386237,0.0,2.997,1.59,2.59751014271211e-09,,0.3,2.83,2.83,793.0,,0.265685211287535,35.2,3.16,3.18,0.0,0.46,0.38,0.0,0.0,0.7391,100.0,0.217648387362773,1.52709890669783,0.277833257442048,1.0,-0.514284243167269,47.0,43.3132974569274,-17.61,-1.31055524865276,-62.4077579977046,,480.0,2880.0,0.1,8.0,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,153.823,2.5529,0.0,0,0,0,0,1.0,90.0,high
XLE,RO,Dexamethasone,50-02-2,C[C@@H]1CC2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.467,0.60091430337445,0.51399155556112,0.0,1.682,1.32,1.38973749748739e-09,12.13,,1.83,1.83,89.0,-0.389712415855976,0.189906192226869,56.5,4.86,7.43,0.0,2.04,3.51,0.71,1.92,2.9132,96.0,0.212755369932112,2.41588052853909,2.00471767109613,1.0,-1.07171203168382,65.0,41.81,-33.0,-2.57747636082803,-125.560449213323,60.2,1000.0,720.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,392.4670000000002,1.8957000000000002,94.83,5,3,4,2,0.7272727272727273,99.5,high
NF90,NF,Sulfamethoxazole,723-46-6,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,253.28,0.563489130329947,0.419214077088797,-0.8735,0.791,1.4895,7.77752800030572e-06,1.6,5.7,0.56,-0.56,610.0,-0.398727717127508,0.262637665467286,70.9,5.4,5.88,23.837815,1.89,2.23,0.58,1.29,1.7244,118.0,0.23866774606206,1.75647561937335,0.572255362706293,0.395286939584589,-1.40025216674653,37.0,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,500.0,30.0,0.02,7.0,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,253.28300000000002,1.3660199999999998,98.22,5,2,2,3,0.1,98.2845,high
SR3,NF,Acetaminophen,103-90-2,CC(=O)NC1=CC=C(O)C=C1,151.165,0.444840420825266,0.329698226496231,0.0,0.907,1.293,3.25613433569989e-09,9.5,,0.49,0.49,14000.0,-0.507964315792578,0.220747436312425,52.8,3.49,5.67,0.0,1.12,1.63,1.01,0.91,1.1724,165.0,0.287669627234652,1.14610023194175,0.0213452777734331,1.0,-1.04100283803885,44.6,42.0532707615335,-7.0,-0.512469867598653,-18.4634572193236,5.2,1000.0,10.0,0.5,6.0,Influences of solution chemistry and polymeric natural organic matter on the removal of aquatic pharmaceutical residuals by nanofiltration,151.165,1.3505999999999998,49.33,2,2,1,1,0.125,52.098,low
CPA3,RO,Dexamethasone,50-02-2,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.467,0.60091430337445,0.51399155556112,0.0,1.682,1.32,1.38973749748739e-09,12.13,,1.83,1.83,89.0,-0.389712415855976,0.189906192226869,56.5,4.86,7.43,0.0,2.04,3.51,0.71,1.92,2.9132,100.0,0.217648387362773,2.3615684076005,1.85386852857576,1.0,-1.36453645283989,73.0,59.6644481387874,-15.0,-1.11037496503814,-52.8753077568041,,1000.0,240.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,392.4670000000002,1.8957000000000002,94.83,5,3,4,2,0.7272727272727273,96.6,high
NF200,NF,2-Naphthalenesulfonic acid,120-18-3,O=S(=O)(O)C1=CC=C2C=CC=CC2=C1,206.285,0.482712129534778,0.381024800219834,-1.0,2.144,1.423,2.70129739651841e-09,0.27,,-2.69,-2.7,60000.0,-0.2817916062671,0.294033163760985,58.7,3.89,5.99,20.5,1.948,2.6,0.003,1.173,1.425,300.0,0.40133958063462,0.949382564304613,0.00256212479637664,0.450146137898121,-1.1029320163181,30.3,35.7017071660267,-20.5,-1.53617815656346,-39.6705565430239,5.2,448.159,10.0,1.6,3.0,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,208.238,2.0865,54.370000000000005,2,1,2,1,0.0,17.096,low
NF90,NF,Sulfamethoxazole,723-46-6,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,253.28,0.563489130329947,0.419214077088797,-1.0,0.791,1.4895,7.77752800030572e-06,1.6,5.7,0.56,-0.56,610.0,-0.398727717127508,0.262637665467286,70.9,5.4,5.88,27.29,1.89,2.23,0.58,1.29,1.7244,118.0,0.23866774606206,1.75647561937335,0.572255362706293,0.345571130038132,-1.40025216674653,63.2,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,690.0,10.0,0.8,10.0,Effect of silica fouling on the removal of pharmaceuticals and personal care products by nanofilltration and reverse osmosis membranes,253.28300000000002,1.3660199999999998,98.22,5,2,2,3,0.1,96.62,high
NE90,NF,Naproxen,22204-53-1,COC1=CC=C2C=C([C@H](C)C(=O)O)C=CC2=C1,230.263,0.534939248887198,0.401032087964405,-1.0,2.986,1.24,7.37733355097318e-06,4.84,2.74,2.24,0.45,15.9,-0.496745104246102,0.310185725323245,47.4,3.92,7.3,21.82,1.51,2.02,0.6,0.67,1.7821,200.0,0.320205775712734,1.25241990739162,0.063715809647594,0.427595255314554,-0.930748373516124,52.0,46.0969930988479,-21.82,-1.64080427396717,-53.1087791086764,,240.0,2880.0,0.1,8.0,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,230.26299999999998,3.036500000000001,46.53,2,1,2,3,0.21428571428571427,89.0,low
NF90,NF,Lidocaine,137-58-6,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,234.343,0.551747224732486,0.404323620980251,0.8504,2.843,1.026,1.51542649437628e-09,14.23,7.928,2.44,2.44,410.0,-0.324484604945174,0.238066131875597,39.1,4.51,6.75,-23.207416,1.11,1.51,0.07,1.24,2.0589,118.0,0.23866774606206,1.69408572231254,0.48175498991812,2.46846941080895,-0.591264728153354,54.1,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,1000.0,10.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,234.343,2.5837400000000006,32.34,2,1,1,5,0.5,99.3,high
NF270,NF,Triclosan,3380-34-5,OC1=CC(Cl)=CC=C1OC1=CC=C(Cl)C=C1Cl,289.54,0.522623191219066,0.446148223995723,-0.9952,4.982,1.55,7.35106530218672e-06,7.9,,5.27,5.13,12.0,-0.504203131684532,0.168713901663033,51.7,4.17,6.55,42.49504,1.73,1.55,0.47,0.45,1.8088,340.0,0.430317700421346,1.03678799073075,0.00135335626200575,0.191172998655091,-1.02572211067725,73.16,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,690.0,10.0,0.8,10.0,Elucidating the Rejection Mechanisms of PPCPs by Nanoﬁltration and Reverse Osmosis Membranes ,289.54499999999996,5.144700000000002,29.46,2,1,2,2,0.0,44.0,low
UTC70,RO,Clofibric acid,882-09-7,CC(C)(OC1=CC=C(Cl)C=C1)C(=O)O,214.65,0.465832587954085,0.388139245689527,-0.977,2.899,1.265,2.42229915221711e-09,3.12,,0.44,-0.88,673.97,-0.478304313837279,0.34695272609642,43.7,3.5,6.2,15.51476,0.994,1.353,0.502,0.984,1.55699999999999,65.0,0.171217516485414,2.2669365474799,1.60512821534029,0.546577642161061,-0.828211078038355,54.4,47.5044003738735,-15.88,-1.17752296418172,-71.2787200719548,66.1,300.0,10.0,10.0,5.0,Rejection of pharmaceuticals and personal care products (PPCPs) and endocrine disrupting chemicals (EDCs) by low pressure reverse osmosis membranes,214.648,2.582,46.53,2,1,1,3,0.3,96.9693,high
TS80,NF,Antipyrine,60-80-0,CC1=CC(=O)N(C2=CC=CC=C2)N1C,188.23,0.493210908232979,0.365123837434925,0.0,1.219,1.19,2.16792790697337e-09,1.4,,0.72,0.72,51900.0,-0.285363178809569,0.271112714604177,42.7,4.13,5.89,0.0,1.3,1.83,0.0,1.37,1.4846,200.0,0.320205775712734,1.1402787367661,0.0196781239886928,1.0,-0.763885301397397,48.0,43.8532610584624,-32.7,-2.55095244685132,-82.5680260382328,89.1,500.0,10.0,0.002,7.0,Artiﬁcial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanoﬁltration and reverse osmosis membranes,188.23000000000002,1.4844199999999999,26.93,1,0,2,1,0.18181818181818182,85.2,low
NF270,NF,Benzylparaben,94-18-8,O=C(OCC1=CC=CC=C1)C1=CC=C(O)C=C1,228.247,0.533688111166063,0.399394172001409,-0.0309,3.398,1.224,2.20071175112619e-09,8.2,,3.56,,,-0.507966178785408,0.337959809088866,51.4,4.11,6.93,1.31943,1.46,1.95,0.69,0.56,1.7391,340.0,0.430317700421346,0.928137912082961,0.00516415967979624,0.949924278370725,-1.01722256650221,40.2,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,800.0,720.0,0.2,7.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes ,228.24699999999999,2.749200000000001,46.53,3,1,2,3,0.07142857142857142,19.0,low
LFC1,RO,Dexamethasone,50-02-2,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.467,0.60091430337445,0.51399155556112,0.0,1.682,1.32,1.38973749748739e-09,12.13,,1.83,1.83,89.0,-0.389712415855976,0.189906192226869,56.5,4.86,7.43,0.0,2.04,3.51,0.71,1.92,2.9132,100.0,0.217648387362773,2.3615684076005,1.85386852857576,1.0,-1.40526650104522,78.0,63.2093581922946,-3.2,-0.233699904741334,-11.1286320162211,34.5,1000.0,360.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,392.4670000000002,1.8957000000000002,94.83,5,3,4,2,0.7272727272727273,99.7,high
NF270,NF,Hydrocortisone,50-23-7,C[C@]12CC(O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,362.466,0.578865269298478,0.495316721723911,0.0,1.275,1.4,1.75619089106236e-09,12.58,,,,320.0,-0.392772864402291,0.189629162907463,58.8,4.45,7.53,0.0,2.03,3.49,0.71,1.9,2.7976,340.0,0.430317700421346,1.15104891395107,0.0228157744057978,1.0,-1.22012599321987,73.16,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,1000.0,10.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,362.4660000000002,1.7815999999999996,94.83,5,3,4,2,0.8095238095238095,94.8,high
UTC70,RO,Chloroform,67-66-3,ClC(Cl)Cl,119.37,0.31092121188494,0.295384038051277,0.0,1.825,1.4835,3.08729386157617e-09,,1.12,1.97,1.97,7950.0,-0.0874115277790443,0.180106635477796,28.9,3.04,3.18,0.0,0.43,0.49,0.15,0.02,0.6167,65.0,0.171217516485414,1.72519753886537,0.52591147037639,1.0,-0.30151175134664,54.4,47.5044003738735,-15.88,-1.17752296418172,-71.2787200719548,66.1,340.0,2880.0,0.1,8.0,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,119.37800000000001,1.9864,0.0,0,0,0,0,1.0,9.0,low
XLE,RO,Bisphenol A,80-05-7,CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,228.291,0.50456515932038,0.399430002538968,-0.0245,4.045,1.195,1.62370988297606e-09,9.6,,3.32,3.32,300.0,-0.507966636216091,0.115095934665927,46.0,4.53,5.62,0.8085,1.61,1.49,1.01,0.91,1.8643,96.0,0.212755369932112,1.87741443455186,0.76985608995996,0.969010764063796,-0.795346906252196,46.9,41.81,-33.0,-2.57747636082803,-125.560449213323,60.2,552.0,480.0,0.1,8.0,"Rejection of organic micropollutants (disinfection by-products, endocrine disrupting compounds, and pharmaceutically active compounds) by NF/RO membranes",228.291,3.423700000000002,40.46,2,2,2,2,0.2,98.62,high
SWC1,RO,Procaine,59-46-1,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,236.315,0.588662891645125,0.405903546582652,0.9892,1.88,1.17,7.01451498347953e-06,,9.04,1.0,0.29,9450.0,-0.460732266199762,0.337667199807612,,4.31,8.04,-30.26952,1.15,1.34,0.26,1.44,1.9767,100.0,0.217648387362773,1.86495085721034,0.748139985388902,3.24971287093995,,48.8,44.2914001982887,-30.6,-2.36766939804397,-112.746821596111,52.9,1000.0,720.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,236.315,1.7673999999999999,55.56,4,1,1,6,0.46153846153846156,97.7,high
Desal51HL,NF,Serine,302-84-1,NC(CO)C(=O)O,105.093,0.362739576004604,0.278381545568386,-0.9214,-3.888,1.6,1.37628576987114e-05,2.21,9.15,-3.64,-3.65,425000.0,-0.480021396143372,0.322371146848687,72.2,3.06,4.3,12.881172,0.61,0.95,0.624999999999999,1.53,0.7857,190.0,0.311186830590451,0.8945800985221,0.0111133556276101,0.605598429583995,-1.44798523123143,35.0,37.5581554697379,-13.98,-1.03295052914342,-34.4030552935939,6.0,800.0,120.0,0.0210186,10.0,Relation between membrane characteristics and performance in nanofiltration,105.09299999999999,-1.6093999999999997,83.55,3,3,0,2,0.6666666666666666,89.0,low
NF90,NF,Dimethyl phthalate,131-11-3,COC(=O)C1=CC=CC=C1C(=O)OC,194.186,0.507224802232698,0.370455987146422,0.0,1.98,1.189,1.941912492912e-09,3.42,,,,4000.0,-0.465398620172826,0.338230174836401,540.5,4.49,5.73,0.0,0.78,1.26,0.0,0.88,1.4288,118.0,0.23866774606206,1.55218287036612,0.304905922325767,1.0,-6.93547880388223,47.3,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,500.0,480.0,0.65,7.0,Rejection of Organic Micropollutants by Clean and Fouled Nanofiltration Membranes,194.18599999999995,1.2597999999999998,52.60000000000001,4,0,1,2,0.2,87.9,low
NF270,NF,Trimethoprim,738-70-5,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,290.32,0.588,0.446707181985209,0.9345,0.98,1.252,6.45675987277816e-06,,7.12,-1.16,-1.15,400.0,-0.492704456320783,0.221431635638239,53.9,4.97,6.95,-39.90315,1.89,2.5,0.21,1.69,2.1813,340.0,0.430317700421346,1.03808693332348,0.0014506144899872,4.72874250574049,-1.08731315121191,29.8,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,500.0,360.0,0.0003,7.0,Nanofiltration as tertiary treatment method for removing trace pharmaceutically active compounds in wastewater from wastewater treatment plants,290.32300000000004,1.2575999999999998,105.51,7,2,2,5,0.2857142857142857,91.4,high
NF,NF,Hydrocortisone,50-23-7,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,362.466,0.578865269298478,0.495316721723911,0.0,1.275,1.4,1.75619089106236e-09,12.58,,,,320.0,-0.392772864402291,0.189629162907463,58.8,4.45,7.53,0.0,2.03,3.49,0.71,1.9,2.7976,300.0,0.40133958063462,1.23415866668493,0.0548302811836642,1.0,-1.27441138423258,53.8,47.1484311236295,-5.48,-0.400711084331131,-10.3480391648948,5.9,1000.0,60.0,10.0,7.0,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,362.4660000000002,1.7815999999999996,94.83,5,3,4,2,0.8095238095238095,91.24,high
ESPA1,RO,Naproxen,22204-53-1,COC1=CC=C2C=C([C@H](C)C(=O)O)C=CC2=C1,230.263,0.534939248887198,0.401032087964405,-1.0,2.986,1.24,7.37733355097318e-06,4.84,2.74,2.24,0.45,15.9,-0.496745104246102,0.310185725323245,47.4,3.92,7.3,30.6,1.51,2.02,0.6,0.67,1.7821,200.0,0.320205775712734,1.25241990739162,0.063715809647594,0.303785282808335,-0.786657792246745,22.6,33.1919441164051,-30.6,-2.36766939804397,-76.6356067314867,,500.0,30.0,0.02,7.0,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,230.26299999999998,3.036500000000001,46.53,2,1,2,3,0.21428571428571427,100.0,high
TFC-SR2,NF,Sulfamethoxazole,723-46-6,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,253.28,0.563,0.419214077088797,-0.4085,0.56,1.4895,7.77752800030572e-06,1.6,5.7,0.56,-0.56,610.0,-0.398727717127508,0.262637665467286,70.9,5.4,5.88,3.88075,1.89,2.23,0.58,1.29,1.7244,460.0,0.509227168082623,0.823235882459396,0.0312455532499084,0.859761773980891,-1.62699465165888,57.0,49.077398473848,-9.5,-0.697304884005442,-14.192203883183,,500.0,360.0,0.001,6.0,Nanofiltration as tertiary treatment method for removing trace pharmaceutically active compounds in wastewater from wastewater treatment plants,253.28300000000002,1.3660199999999998,98.22,5,2,2,3,0.1,47.9,low
NF90,NF,Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,194.194,0.472580151931924,0.370463089957864,0.0,-0.546,1.23,1.80562697831881e-09,10.4,,0.28,0.28,21600.0,-0.327863466099482,0.331703432635988,55.7,4.44,5.03,0.0,1.5,1.82,0.08,1.25,1.3632,118.0,0.23866774606206,1.55221263061467,0.304938789410374,1.0,-1.04302996981091,54.1,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,276.0,10.0,0.005,7.0,Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse,194.194,-1.0293,61.82,3,0,2,0,0.375,90.0,high
