Name of MB,Type of MB,Types of contaminants,CAS,SMILES,Compound Mw (g/mol),Compound size (nm),Compound stokes radius rs (nm),Compound charge,Compound log K ow,Density (g·cm-3),Diffusion coefficient (cm2·s-1),pKa1,pKa2,log D (pH=5.5),log D (pH=7.4),WS (mg/L),MinPartialCharge,MaxPartialCharge,Surface tension γs (dyne·cm-1),Min projection (Å),Max projection (Å),Total charge,E,S,A,B,V,MB MWCO (Da),MB pore radius rp (nm),rs/rp,ΦS,ΦD,∆Gs-m (J·m-2),MB contact angle (°),"MB surface energy, γm (J·m-2)",MB zeta potential (mV),"MB surface charge density , σm (mC·m-2)","MB volume charge density, δm (mol·m-3)",RMS roughness (nm),Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),pH,Reference,RD_MW,RD_LogP,RD_TPSA,RD_HBA,RD_HBD,RD_Rings,RD_RotBonds,RD_FracCSP3,Removal rate (%),zone
TS80,NF,17alpha-Ethynilestradiol,57-63-6,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(O)=CC=C4[C@H]3CC[C@@]21C,296.41,0.565402511490708,0.451044023911199,0.0,4.33,,,10.33,,3.67,3.67,11.3,-0.507956032195299,0.130335878485283,57.2,4.44,7.2,0.0,2.01,2.34,0.98,1.23,2.3946,200.0,0.320205775712734,1.40860677140266,0.166959493636106,1.0,-1.25201814381077,56.6,48.8322519228077,-32.7,-2.55095244685132,-82.5680260382328,89.1,1034.21,1440.0,0.0011,7.0,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,296.4100000000001,3.6126000000000023,40.46,2,2,4,0,0.6,55.3,low
XLE,RO,perﬂuorohexanoate,307-24-4,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,313.047,0.455792716045353,0.462654385075525,-1.0,3.712,,,-0.16,,2.48,2.48,1000.0,-0.254939806228499,0.34831623179593,17.4,3.69,5.63,33.0,-0.640999999999999,0.272999999999999,0.827,0.641,1.2446,96.0,0.212755369932112,2.17458382001429,1.37964715023936,0.27668379805783,0.187318554159386,67.2,41.81,-33.0,-2.57747636082803,-125.560449213323,60.2,2000.0,90.0,100.0,7.1,Selection of High Flux Membrane for the Eﬀective Removal of ShortChain Perﬂuorocarboxylic Acids,314.04999999999995,3.1745,37.3,1,1,0,4,0.8333333333333334,99.71,high
UTC60,RO,"2,4-dichlorophenol",120-83-2,OC1=CC=C(Cl)C=C1Cl,163.0,0.408303808456399,0.341469651317821,-0.2662,2.878,1.383,2.630936055669e-09,7.89,,3.06,,4500.0,-0.506393779244661,0.133773407729862,47.8,3.64,4.58,9.23714,0.96,0.82,0.54,0.17,1.0199,150.0,0.272796180254854,1.25173912258893,0.0633725858418444,0.697917045548317,-0.940515497706683,51.6,45.8667681953807,-34.7,-2.7294647454783,-103.699796621965,13.9,300.0,10.0,10.0,7.0,Rejection of pharmaceuticals and personal care products (PPCPs) and endocrine disrupting chemicals (EDCs) by low pressure reverse osmosis membranes,163.003,2.699,20.23,1,1,1,0,0.0,31.879,low
NF90,NF,Glutaric acid,110-94-1,O=C(O)CCCC(=O)O,132.115,0.409434976522524,0.309664286290564,-0.9905,0.046,1.429,4.15059186767631e-09,5.41,,,,640000.0,-0.481230227975588,0.302855790648419,56.1,3.23,5.19,27.030745,0.36,1.28,1.05,0.75,0.9619,118.0,0.23866774606206,1.29747019192968,0.0884885150866807,0.349077090360036,-1.05301535145567,63.2,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,482.633,10.0,11.0,4.0,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,132.115,0.32590000000000025,74.6,2,2,0,4,0.6,67.05,low
NF90,NF,Sulfamethoxazole,723-46-6,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,253.28,0.563489130329947,0.419214077088797,-1.0,0.791,1.4895,7.77752800030572e-06,1.6,5.7,0.56,-0.56,610.0,-0.398727717127508,0.262637665467286,70.9,5.4,5.88,27.29,1.89,2.23,0.58,1.29,1.7244,118.0,0.23866774606206,1.75647561937335,0.572255362706293,0.345571130038132,-1.40025216674653,54.1,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,600.0,10.0,0.5,9.0,Pharmaceutical Retention Mechanisms by Nanofiltration Membranes,253.28300000000002,1.3660199999999998,98.22,5,2,2,3,0.1,100.0,high
NF90,NF,Naproxen,22204-53-1,COC1=CC=C2C=C([C@H](C)C(=O)O)C=CC2=C1,230.263,0.534939248887198,0.401032087964405,-1.0,2.986,1.24,7.37733355097318e-06,4.84,2.74,2.24,0.45,15.9,-0.496745104246102,0.310185725323245,47.4,3.92,7.3,27.29,1.51,2.02,0.6,0.67,1.7821,118.0,0.23866774606206,1.68029444523319,0.462800532215134,0.345571130038132,-0.827093333452276,54.1,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,276.0,10.0,0.005,7.0,Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse,230.26299999999998,3.036500000000001,46.53,2,1,2,3,0.21428571428571427,95.0,high
TS80,NF,Aminopyrine,58-15-1,CC1=C(N(C)C)C(=O)N(C2=CC=CC=C2)N1C,231.299,0.522149403906583,0.401870813153755,0.0,1.151,1.17,1.83445568216017e-09,5.0,,1.05,1.1,54400.0,-0.371680832127094,0.294716386846053,49.0,4.26,6.4,0.0,1.68,1.74,0.0,1.6,1.8662,200.0,0.320205775712734,1.25503923924934,0.065045013556882,1.0,-0.954491008221877,48.0,43.8532610584624,-32.7,-2.55095244685132,-82.5680260382328,89.1,500.0,10.0,0.002,8.0,Influence of membrane fouling by (pretreated) surface water on rejection of pharmaceutically active compounds (PhACs) by nanofilltration membranes,231.29900000000004,1.55042,30.17,2,0,2,2,0.3076923076923077,90.59,high
NF270,NF,Dexamethasone,50-02-2,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,392.467,0.60091430337445,0.51399155556112,0.0,1.682,1.32,1.38973749748739e-09,12.13,,1.83,1.83,89.0,-0.389712415855976,0.189906192226869,56.5,4.86,7.43,0.0,2.04,3.51,0.71,1.92,2.9132,340.0,0.430317700421346,1.1944466961453,0.0378095176418226,1.0,-1.1585036737524,73.16,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,1000.0,240.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,392.4670000000002,1.8957000000000002,94.83,5,3,4,2,0.7272727272727273,99.0,high
NF200,NF,2-Naphthalenesulfonic acid,120-18-3,O=S(=O)(O)C1=CC=C2C=CC=CC2=C1,206.285,0.482712129534778,0.381024800219834,-1.0,2.144,1.423,2.70129739651841e-09,0.27,,-2.69,-2.7,60000.0,-0.2817916062671,0.294033163760985,58.7,3.89,5.99,20.5,1.948,2.6,0.003,1.173,1.425,300.0,0.40133958063462,0.949382564304613,0.00256212479637664,0.450146137898121,-1.1029320163181,30.3,35.7017071660267,-20.5,-1.53617815656346,-39.6705565430239,5.2,448.159,10.0,1.6,9.0,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,208.238,2.0865,54.370000000000005,2,1,2,1,0.0,85.709,low
NF90,NF,Acetaminophen,103-90-2,CC(=O)NC1=CC=C(O)C=C1,151.165,0.444840420825266,0.329698226496231,0.0,0.907,1.293,3.25613433569989e-09,9.5,,0.49,0.49,14000.0,-0.507964315792578,0.220747436312425,52.8,3.49,5.67,0.0,1.12,1.63,1.01,0.91,1.1724,118.0,0.23866774606206,1.38141090254609,0.145474276581023,1.0,-0.969536829445799,54.1,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,276.0,10.0,0.005,7.0,Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse,151.165,1.3505999999999998,49.33,2,2,1,1,0.125,75.0,low
NF270,NF,Methylparaben,99-76-3,COC(=O)C1=CC=C(O)C=C1,152.149,0.432190930029773,0.330695313443136,0.0,1.673,1.1208,8.90299881734385e-06,8.5,,,,3000.0,-0.507966178785456,0.337346051933253,58.0,3.39,5.51,0.0,0.93,1.46,0.71,0.46,1.1313,340.0,0.430317700421346,0.768491077916003,0.0535963810044942,1.0,-1.1988311539663,40.2,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,800.0,720.0,0.2,7.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes ,152.149,1.1788,46.53,3,1,1,1,0.125,22.0,low
XLE,RO,Procaine,59-46-1,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,236.315,0.588662891645125,0.405903546582652,0.9892,1.88,1.17,7.01451498347953e-06,,9.04,1.0,0.29,9450.0,-0.460732266199762,0.337667199807612,,4.31,8.04,-32.6436,1.15,1.34,0.26,1.44,1.9767,96.0,0.212755369932112,1.90784160565334,0.824176380955235,3.56442676122324,,65.0,41.81,-33.0,-2.57747636082803,-125.560449213323,60.2,1000.0,720.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,236.315,1.7673999999999999,55.56,4,1,1,6,0.46153846153846156,95.7,high
