feature,VIF
ΦD,8.384
pKa2,7.341
"MB surface charge density , σm (mC·m-2)",7.078
Compound log K ow,6.269
Pressure (kPa),5.46
pKa1,5.448
Total charge,5.103
RD_RotBonds,4.841
∆Gs-m (J·m-2),4.641
RD_FracCSP3,4.183
A,4.067
RD_Rings,4.004
log D (pH=5.5),3.824
RMS roughness (nm),2.511
MinPartialCharge,2.207
WS (mg/L),2.011
Diffusion coefficient (cm2·s-1),1.887
Measurement time (min),1.344
Initial concentration of compound (mg/L),1.22
